Kunta,Autot,Henkilöautot,Pakettiautot,Kuorma-autot,Linja-autot,Erikoisautot,Moottoripyörät,Kolmi- tai nelipyörä,Mopot,Kevyet nelipyörät,Nelipyörät,Moottorikelkat,Traktorit,Moottorityökoneet
Kurikka,15 535,12 627,2 160,681,49,18,801,6,776,27,39,220,5 329,469
Lappajärvi,1 975,1 668,251,55,.,1,55,.,53,1,8,54,789,48
Lapua,10 347,8 692,1 295,341,13,6,497,4,426,52,33,119,2 657,215
Seinäjoki,46 262,39 982,4 572,1 592,90,26,2 373,7,1 560,222,72,460,5 887,605
Soini,1 589,1 103,272,172,39,3,50,.,56,4,7,33,652,82
Teuva,3 717,2 918,565,130,98,6,154,.,108,3,13,47,1 272,105
Vimpeli,2 093,1 740,257,91,5,.,94,.,82,2,7,51,594,33
Ähtäri,4 127,3 333,620,162,9,3,214,1,147,7,12,106,975,125
Kaskinen,857,721,122,14,.,.,40,.,38,1,9,7,105,41
Korsnäs,1 638,1 302,288,45,1,2,43,.,54,2,1,61,608,29
Kristiinankaupunki,5 068,3 919,756,381,6,6,173,1,216,11,11,38,1 735,143
Kruunupyy,4 958,4 035,714,203,.,6,234,.,186,.,7,84,1 712,117
Laihia,5 781,4 987,624,149,18,3,266,2,300,3,12,70,1 417,89
Luoto,3 661,3 167,429,65,.,.,87,.,223,5,7,291,613,43
Maalahti,4 180,3 454,579,104,40,3,112,.,188,6,9,159,1 624,118
Mustasaari,14 886,12 901,1 576,370,31,8,672,2,642,19,20,438,3 591,246
Närpiö,7 500,5 978,1 157,353,9,3,213,1,213,34,9,63,3 019,214
Pedersören kunta,8 460,6 948,1 137,367,3,5,412,2,527,7,13,119,2 284,184
Pietarsaari,12 641,10 877,1 378,280,101,5,649,5,529,4,12,154,818,234
Uusikaarlepyy,5 925,4 730,943,241,3,8,280,.,260,8,7,108,1 929,154
Vaasa,38 746,35 092,2 900,655,68,31,1 621,5,1 579,56,48,543,2 855,401
Vöyri,5 134,4 060,838,217,13,6,202,.,177,3,6,105,1 835,170
Halsua,839,688,109,42,.,.,30,.,21,.,2,30,338,18
Kannus,3 715,3 040,493,177,.,5,141,2,130,3,8,58,960,101
Kaustinen,3 114,2 563,415,134,.,2,115,.,104,.,7,51,984,63
Kokkola,30 801,26 549,3 155,1 023,47,27,1 240,4,1 073,19,51,401,4 001,667
Lestijärvi,500,381,100,18,.,1,13,1,18,1,2,19,209,22
Perho,1 853,1 457,283,102,9,2,49,.,78,1,5,47,739,40
Toholampi,2 053,1 620,338,93,2,.,85,1,109,.,2,59,773,44
Veteli,2 326,1 875,356,77,17,1,95,1,95,.,6,57,859,46
Alavieska,1 917,1 493,304,108,10,2,100,.,98,.,5,35,738,57
Haapajärvi,4 478,3 631,631,202,7,7,230,3,188,2,8,97,1 267,142
Haapavesi,4 322,3 525,633,156,6,2,232,3,207,3,3,114,1 583,155
Hailuoto,680,536,136,8,.,.,28,.,53,1,2,77,334,17
Ii,6 341,5 350,802,180,5,4,257,2,300,13,17,538,1 519,128
Kalajoki,8 943,7 190,1 385,353,7,8,366,6,332,3,18,201,2 369,241
Kempele,12 200,10 696,1 075,409,16,4,551,2,452,6,24,589,1 054,275
Kuusamo,10 735,8 588,1 564,523,51,9,255,3,337,26,48,2 044,2 552,255
Kärsämäki,1 696,1 330,291,71,2,2,82,2,108,6,4,44,775,155
Liminka,5 846,5 039,626,174,2,5,234,1,378,2,22,251,1 046,128
Lumijoki,1 292,1 048,178,59,5,2,49,.,80,1,3,60,452,25
Merijärvi,672,557,102,13,.,.,37,.,33,.,1,26,327,16
Muhos,5 583,4 782,564,159,73,5,273,.,265,4,17,231,1 181,88
Nivala,7 139,5 836,1 001,258,38,6,327,1,423,4,17,218,2 206,193
Oulainen,4 448,3 670,549,110,115,4,193,1,233,1,11,83,1 095,76
Oulu,110 184,98 669,8 860,2 232,372,51,4 842,20,3 630,56,146,3 815,7 998,1 372
Pudasjärvi,5 062,3 960,849,199,50,4,172,.,240,.,13,700,1 922,162
Pyhäjoki,2 082,1 750,270,61,.,1,90,.,128,1,5,50,782,37
Pyhäjärvi,3 324,2 740,466,97,13,8,160,.,135,1,7,183,1 109,79
Pyhäntä,993,828,134,29,1,1,35,.,46,.,5,41,347,42
Raahe,15 243,12 891,1 773,531,33,15,831,6,934,1,32,486,2 770,392
Reisjärvi,1 877,1 462,335,77,2,1,69,.,74,.,3,51,698,53
Sievi,3 063,2 516,417,125,1,4,105,.,170,2,5,75,1 043,143
Siikajoki,3 536,2 725,640,158,3,10,169,1,194,2,5,154,1 519,147
Siikalatva,3 728,2 892,630,183,22,1,182,.,165,2,7,127,1 815,125
Taivalkoski,2 675,2 089,476,103,5,2,86,.,111,1,12,462,888,87
Tyrnävä,3 931,3 353,455,109,10,4,183,.,243,.,12,138,1 125,80
Utajärvi,1 794,1 490,228,64,11,1,84,.,90,.,3,147,753,52
Vaala,1 873,1 523,289,58,1,2,88,1,76,.,7,174,676,51
Ylivieska,10 092,8 788,1 042,244,12,6,491,3,490,4,18,270,1 751,135
Hyrynsalmi,1 550,1 265,225,55,2,3,49,.,68,2,7,142,542,32
Kajaani,22 377,19 327,2 362,645,20,23,1 021,4,859,9,40,1 245,2 616,449
Kuhmo,5 735,4 630,816,248,29,12,184,1,198,6,15,506,1 684,252
Paltamo,2 185,1 806,304,70,5,.,102,1,105,1,7,197,727,51
Puolanka,1 791,1 346,367,73,4,1,49,.,88,.,3,199,636,57
Ristijärvi,957,762,164,29,2,.,33,.,48,.,3,79,424,23
Sotkamo,7 482,6 100,1 117,260,4,1,290,1,230,3,9,448,1 889,207
Suomussalmi,5 176,4 282,771,107,14,2,173,2,152,5,12,715,1 525,112
Enontekiö,1 397,1 083,244,63,4,3,30,.,17,2,.,547,425,44
Inari,5 373,4 136,1 061,136,33,7,131,3,96,1,10,1 761,844,86
Kemi,11 496,9 971,1 129,364,16,16,453,4,357,18,25,510,746,321
Kemijärvi,4 993,4 046,757,165,20,5,92,.,93,1,11,885,1 003,130
Keminmaa,5 981,4 941,756,256,23,5,220,.,184,7,8,382,930,181
Kittilä,5 195,4 001,898,241,47,8,112,2,126,1,9,992,1 075,173
Kolari,2 992,2 352,513,87,37,3,77,.,65,.,1,401,720,82
Muonio,1 786,1 371,336,67,11,1,40,.,40,.,1,528,417,49
Pelkosenniemi,677,523,135,18,1,.,15,.,10,.,3,137,199,14
Pello,2 516,1 937,437,134,7,1,42,.,69,1,1,329,584,79
Posio,2 249,1 765,396,85,.,3,40,.,65,.,13,437,858,51
Ranua,2 488,1 940,463,81,3,1,184,.,118,3,3,583,1 022,81
Rovaniemi,40 706,34 477,4 538,1 454,195,42,1 182,15,946,17,63,4 559,4 408,750
Salla,2 552,1 922,559,63,4,4,32,.,64,.,5,527,808,61
Savukoski,850,527,286,35,1,1,19,.,14,1,1,222,295,40
Simo,2 076,1 739,261,59,17,.,73,2,77,.,3,205,649,44
Sodankylä,6 223,4 668,1 332,179,33,11,243,2,147,2,6,1 518,1 486,162
Tervola,2 154,1 672,377,101,4,.,58,.,55,2,4,216,802,110
Tornio,14 271,11 674,1 831,717,38,11,497,3,459,10,10,1 150,2 375,565
Utsjoki,830,667,142,18,3,.,22,.,15,.,1,253,192,10
Ylitornio,2 871,2 228,479,148,12,4,77,3,83,2,6,402,852,97
