,Aluekoodi,Alue,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
20,104,Taka-Töölö,26606.0,25809.0,25437.0,24886.0,23620.0,23053.0,22788.0,22389.0,21641.0,21179.0,20645.0,20027.0,19355.0,18633.0,18110.0,17687.0,17385.0,16932.0,16620.0,16274.0,15975.0,15738.0,15355.0,15166.0,14851.0,14714.0,14651.0,14335.0,14090.0,13909.0,13837.0,13681.0,13750.0,13996.0,14187.0,14319.0,14443.0,14445.0,14432.0,14590.0,14705.0,14575.0,14245.0,14365.0,14361.0,14379.0,14329.0,14380.0,14502.0,14654.0,14827.0,15002.0,15048.0,14965.0,15244.0,15487.0,15492.0,15548.0,15734.0,15478.0,15253.0,15343.0
21,140,Taka-Töölö,26606.0,25809.0,25437.0,24886.0,23620.0,23053.0,22788.0,22389.0,21641.0,21179.0,20645.0,20027.0,19355.0,18633.0,18110.0,17687.0,17385.0,16932.0,16620.0,16274.0,15975.0,15738.0,15355.0,15166.0,14851.0,14714.0,14651.0,14335.0,14090.0,13909.0,13837.0,13681.0,13750.0,13996.0,14187.0,14319.0,14443.0,14445.0,14432.0,14590.0,14705.0,14575.0,14245.0,14365.0,14361.0,14379.0,14329.0,14380.0,14502.0,14654.0,14827.0,15002.0,15048.0,14965.0,15244.0,15487.0,15492.0,15548.0,15734.0,15478.0,15253.0,15343.0
22,105,Lauttasaari,19505.0,20734.0,21375.0,21878.0,21637.0,21482.0,21702.0,21482.0,21452.0,21690.0,21115.0,20774.0,21519.0,21660.0,21868.0,21421.0,21182.0,21064.0,20702.0,20536.0,20264.0,20091.0,19896.0,19812.0,19611.0,19487.0,19405.0,19108.0,18977.0,18755.0,18659.0,18605.0,18682.0,18588.0,18479.0,18440.0,18516.0,18447.0,18347.0,18478.0,18807.0,19006.0,19119.0,18965.0,19295.0,19552.0,19644.0,19706.0,20066.0,20412.0,20789.0,21405.0,21932.0,22306.0,22617.0,23226.0,24197.0,24326.0,24467.0,24822.0,24736.0,24743.0
23,310,Lauttasaari (vuoteen 2012),19505.0,20734.0,21375.0,21878.0,21637.0,21482.0,21702.0,21482.0,21452.0,21690.0,21115.0,20774.0,21519.0,21660.0,21868.0,21421.0,21182.0,21064.0,20702.0,20536.0,20264.0,20091.0,19896.0,19812.0,19611.0,19487.0,19405.0,19108.0,18977.0,18755.0,18659.0,18605.0,18682.0,18588.0,18479.0,18440.0,18516.0,18447.0,18347.0,18478.0,18807.0,19006.0,19119.0,18965.0,19295.0,19552.0,19644.0,19706.0,20066.0,20412.0,20789.0,,,,,,,,,,,
24,311,Kotkavuori,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7718.0,7854.0,7946.0,7960.0,8117.0,8506.0,8550.0,8528.0,8454.0,8383.0,8344.0
25,312,Vattuniemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6798.0,7118.0,7398.0,7696.0,8043.0,8411.0,8509.0,8563.0,8817.0,8766.0,8815.0
26,313,Myllykallio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6889.0,6960.0,6962.0,6961.0,7066.0,7280.0,7267.0,7376.0,7551.0,7587.0,7584.0
27,314,Koivusaari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2,Läntinen suurpiiri,85617.0,90186.0,91366.0,92639.0,91696.0,90872.0,90784.0,90115.0,89127.0,87844.0,86403.0,85081.0,84772.0,84867.0,84333.0,83828.0,84351.0,86674.0,87010.0,87414.0,88418.0,88846.0,88899.0,89050.0,89704.0,90989.0,90951.0,89959.0,89480.0,90386.0,91812.0,92179.0,93798.0,95135.0,96128.0,96155.0,98155.0,99997.0,100639.0,100655.0,100788.0,99996.0,99502.0,98545.0,98748.0,99274.0,99645.0,100695.0,101328.0,101807.0,103699.0,104082.0,104955.0,106287.0,107085.0,108318.0,109306.0,110438.0,111890.0,111929.0,112045.0,112375.0
29,201,Reijola,17075.0,16714.0,16361.0,16036.0,15581.0,15356.0,15010.0,14647.0,14117.0,13838.0,13541.0,13276.0,12676.0,12231.0,11862.0,11488.0,11357.0,10936.0,10696.0,10297.0,10281.0,10104.0,9820.0,9674.0,9574.0,9502.0,9376.0,9113.0,9533.0,9825.0,10366.0,10872.0,11399.0,12677.0,13335.0,13861.0,14622.0,15632.0,15775.0,15715.0,15604.0,15451.0,15217.0,15090.0,15246.0,15373.0,15425.0,15670.0,15702.0,15795.0,15967.0,17015.0,16982.0,17208.0,17405.0,17406.0,17401.0,17486.0,17540.0,17101.0,16767.0,16656.0
